"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"034101 Folketingets pensioner "; 75,4; 77,3; 79,8; 79,8; 79,8; 79,8
"03410110 Folketingets medlemspensioner "; 53,6; 53,5; 54,2; 54,2; 54,2; 54,2
"03410130 Folketingets Administrations pensioner "; 14,4; 15,5; 16,9; 16,9; 16,9; 16,9
"03410140 Folketingets Ombudsmands pensioner "; -0,2; 0,4; 0,6; 0,6; 0,6; 0,6
"03410150 Statsrevisorernes pensioner "; 1,2; 1,1; 1,2; 1,2; 1,2; 1,2
"03410160 Rigsrevisionens pensioner "; 6,4; 6,8; 6,9; 6,9; 6,9; 6,9
"05 Statsministeriet "; 108,9; 114,3; 114,3; 113,6; 112,9; 112,2
"051 Fællesudgifter "; 108,9; 114,3; 114,3; 113,6; 112,9; 112,2
"0511 Centralstyrelsen "; 86,5; 94,1; 94,1; 93,6; 93,1; 92,6
"051101 Departementet "; 86,5; 94,1; 94,1; 93,6; 93,1; 92,6
"05110110 Almindelig virksomhed "; 86,0; 93,6; 93,6; 93,1; 92,6; 92,1
"05110120 Tilskud "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"0512 Grønland og Færøerne "; 22,4; 20,2; 20,2; 20,0; 19,8; 19,6
"051203 Rigsombudsmanden i Grønland "; 9,7; 10,0; 10,0; 9,9; 9,8; 9,7
"05120310 Almindelig virksomhed "; 9,7; 10,0; 10,0; 9,9; 9,8; 9,7
"051251 Rigsombudsmanden på Færøerne "; 12,7; 10,2; 10,2; 10,1; 10,0; 9,9
"05125110 Almindelig virksomhed "; 12,7; 10,2; 10,2; 10,1; 10,0; 9,9
"06 Udenrigsministeriet "; 12851,4; 10590,8; 11353,0; 11627,8; 11691,9; 11707,0
"061 Udenrigstjenesten mv. "; 1638,3; 1659,4; 1580,7; 1504,0; 1464,2; 1495,1
"0611 Udenrigstjenesten mv. "; 1638,3; 1659,4; 1580,7; 1504,0; 1464,2; 1495,1
"061101 Udenrigstjenesten "; 1649,0; 1634,4; 1603,8; 1577,7; 1531,5; 1498,7
"06110110 Generel udenrigspolitik "; 487,5; 497,8; 500,9; 518,0; 501,1; 485,7
"06110120 Administration af udviklingssamarbejde "; 764,4; 754,9; 735,9; 715,7; 705,7; 705,7
"06110130 Eksport- og investeringsfremme mv. "; 257,1; 249,9; 240,6; 225,4; 213,8; 203,1
"06110140 Borgerservice "; 140,0; 131,8; 126,4; 118,6; 110,9; 104,2
"06110190 Kompetencecenter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06110197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061106 Renteindtægt af diverse tilgodehavender "; -7,2; -10,0; -10,0; -9,0; -9,0; -9,0
"06110610 Renteindtægt af diverse tilgodehavender "; -7,2; -10,0; -10,0; -9,0; -9,0; -9,0
"061111 IMR "; 39,0; 39,0; 38,6; 37,9; 37,2; 36,5
"06111110 Almindelig virksomhed "; 39,0; 39,0; 38,6; 37,9; 37,2; 36,5
"06111190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111195 Tilskudsfinansieret virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061112 Dansk Institut for Internationale Studier "; 26,3; 27,8; 24,7; 24,3; 23,9; 23,4
"06111210 Almindelig virksomhed "; 26,3; 27,8; 24,7; 24,3; 23,9; 23,4
"06111290 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111295 Tilskudsfinansieret virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111297 Anden tilskudsfinansieret virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061115 Ikke-lovbundne tilskud "; 31,6; 43,2; 49,1; 23,7; 21,3; 21,3
"06111510 Tilskud til oplysningsarbejde mv. "; 4,8; 4,7; 4,7; 4,7; 4,7; 4,7
"06111520 Tilskud til internationale institutioner "; 6,2; 14,5; 14,7; 14,6; 14,5; 14,5
"06111530 Int. presseindsatser "; 1,9; 2,0; 2,0; 2,0; 2,1; 2,1
"06111540 Freds- og Stabiliseringsfonden "; 18,7; 22,0; 22,1; 0,0; 0,0; 0,0
"06111550 Udredning indsats i Kosovo, Afghanistan mv. "; 0,0; 0,0; 5,6; 2,4; 0,0; 0,0
"061119 Bilateralt naboskabsprogram "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"06111930 Naboskabsindsatser i DAC-lande "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"061121 Udlodninger fra IØ og IFU "; -100,0; -75,0; -125,0; -150,0; -140,0; -75,0
"06112110 Udlodninger fra IØ "; -100,0; -75,0; -75,0; -100,0; -90,0; -25,0
"06112120 Udbytte fra IFU "; 0,0; 0,0; -50,0; -50,0; -50,0; -50,0
"061179 Reserver og budgetregulering "; 0,0; 0,0; -0,5; -0,6; -0,7; -0,8
"06117930 Barselsfonden budgetregulering "; 0,0; 0,0; -0,5; -0,6; -0,7; -0,8
"062 Internationale organisationer "; 634,3; 751,1; 697,0; 699,0; 699,0; 699,0
"0621 Nordiske formål "; 92,8; 93,9; 106,3; 106,3; 106,3; 106,3
"062101 Nordisk Ministerråd "; 92,8; 93,9; 106,3; 106,3; 106,3; 106,3
"06210110 Nordisk Ministerråd "; 92,8; 93,9; 106,3; 106,3; 106,3; 106,3
"0622 Øvrige internationale organisationer "; 541,5; 657,2; 590,7; 592,7; 592,7; 592,7
"062201 Fredsbevarende operationer "; 290,1; 382,3; 334,9; 334,9; 334,9; 334,9
"06220110 De Forenede Nationer "; 265,8; 362,4; 315,0; 315,0; 315,0; 315,0
"06220120 Internationale straffedomstole "; 24,3; 19,9; 19,9; 19,9; 19,9; 19,9
"062203 Øvrige organisationer "; 251,4; 275,0; 255,9; 257,9; 257,9; 257,9
"06220310 Almindelig virksomhed "; 251,4; 275,0; 255,9; 257,9; 257,9; 257,9
"062205 Den Europæiske Investeringsbank "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"06220510 Den Europæiske Investeringsbank "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"063 Bistand til udviklingslandene "; 10471,0; 8074,8; 8969,8; 9332,5; 9443,0; 9433,8
"0631 Reserver "; 0,0; -661,2; -890,2; -500,0; -500,0; -500,0
"063179 Reserver og budgetreguleringer "; 0,0; -661,2; -890,2; -500,0; -500,0; -500,0
"06317910 Reserve "; 0,0; 100,0; 100,0; 100,0; 100,0; 100,0
"06317920 Budgetregulering "; 0,0; -761,2; -990,2; -600,0; -600,0; -600,0
"0632 Bilateral bistand "; 3424,9; 2596,9; 2767,2; 2958,2; 2541,8; 2795,5
"063201 Udviklingslande i Afrika "; 1721,4; 551,0; 955,0; 1466,4; 1393,2; 1415,7
"06320105 Etiopien "; 4,3; 4,0; 5,0; 255,0; 5,0; 5,0
"06320106 Niger "; 0,0; 0,0; 225,0; 35,0; 100,0; 0,0
"06320107 Zimbabwe "; 97,6; 25,0; 0,0; 0,0; 0,0; 0,0
"06320108 Somalia "; 450,0; 0,0; 0,0; 0,0; 500,0; 0,0
"06320109 Sydsudan "; -4,5; 100,0; 0,0; 0,0; 0,0; 0,0
"06320110 Tanzania "; 214,1; 1,0; 5,0; 0,0; 0,0; 0,0
"06320111 Kenya "; 905,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06320112 Uganda "; -6,6; 0,0; 5,0; 225,0; 525,0; 0,0
"06320113 Mozambique "; -32,6; 184,0; 10,0; 0,0; 0,0; 0,0
"06320115 Ghana "; -3,1; 65,0; 75,0; 5,0; 0,0; 0,0
"06320117 Burkina Faso "; -1,4; 170,0; 300,0; 300,0; 0,0; 0,0
"06320118 Zambia "; -105,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320119 Egypten "; -1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320120 Mali "; 162,4; 1,0; 330,0; 460,0; 185,0; 5,0
"06320123 Øvrige indsatser i Afrika "; 42,1; 1,0; 0,0; 186,4; 78,2; 1405,7
"06320125 Særlige bilaterale kvinde-indsatser i Afrika "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"063202 Udviklingslande i Asien og Latinamerika "; 525,8; 1038,6; 625,0; 340,0; 10,0; 5,0
"06320204 Pakistan "; 34,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320205 Myanmar "; 4,6; 242,0; 235,0; 5,0; 5,0; 0,0
"06320207 Indonesien "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320208 Palæstina "; 171,0; 195,0; 250,0; 0,0; 0,0; 0,0
"06320209 Afghanistan "; 423,3; 379,0; 5,0; 330,0; 0,0; 0,0
"06320211 Bangladesh "; 3,0; 207,0; 135,0; 5,0; 5,0; 5,0
"06320212 Nepal "; 3,4; 4,6; 0,0; 0,0; 0,0; 0,0
"06320213 Bhutan "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06320214 Vietnam "; -148,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320215 Øvrige indsatser i Asien "; 36,1; 1,0; 0,0; 0,0; 0,0; 0,0
"06320217 Bolivia "; 3,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320218 Øvrige indsatser i Latinamerika "; -3,5; 10,0; 0,0; 0,0; 0,0; 0,0
"063204 Personelbistand "; 257,9; 242,4; 263,7; 273,7; 261,7; 261,7
"06320410 Rådgiverbistand "; 13,1; 6,0; 10,0; 20,0; 8,0; 8,0
"06320412 Firmarådgivere "; 33,5; 25,0; 40,0; 40,0; 40,0; 40,0
"06320414 IT-, ejend., rejse-, komp. og kom. udgifter "; 93,2; 93,3; 94,3; 94,3; 94,3; 94,3
"06320415 Rådgivende enheder "; 118,0; 118,1; 119,4; 119,4; 119,4; 119,4
"063205 Danidas erhvervsplatform "; 30,3; 100,0; 0,0; 0,0; 0,0; 0,0
"06320512 Erhvervsindsatser og samfundsansvar "; 24,6; 88,0; 0,0; 0,0; 0,0; 0,0
"06320515 Innovative Partnerskaber "; -2,5; 0,0; 0,0; 0,0; 0,0; 0,0
"06320516 FN's Global Compact "; 2,0; 2,0; 0,0; 0,0; 0,0; 0,0
"06320517 Erhvervshandlingsplanen "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06320520 Danida Business Delegations "; 6,3; 10,0; 0,0; 0,0; 0,0; 0,0
"063207 Lånebistand "; -51,2; -51,8; -68,6; -65,8; -56,4; -43,7
"06320714 Gældslettelse til udviklingslandene "; 0,4; 0,6; 16,0; 19,4; 22,9; 26,5
"06320715 Afdrag på statslån til udviklingslande "; -51,6; -52,4; -84,6; -85,2; -79,3; -70,2
"063208 Øvrig bistand "; 518,7; 466,7; 632,1; 583,9; 573,3; 796,8
"06320810 Styrkelse af indsatser i nærområder "; -8,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06320820 Bilateral regionalbistand "; -3,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06320830 Projekter, demokrati og menneskerettigheder "; -1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320840 Dignity - Dansk Institut mod Tortur "; 48,0; 42,0; 48,0; 48,0; 48,0; 48,0
"06320850 Det Arabiske Initiativ "; -5,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06320860 Stabilisering og konfliktforebyggelse "; 47,6; 89,0; 111,2; 100,0; 100,0; 200,0
"06320870 Demokrati og menneskerettigheder "; 88,4; 104,5; 166,7; 136,7; 126,1; 249,6
"06320880 Freds- og Stabiliseringsfonden "; 324,4; 205,0; 277,0; 270,0; 270,0; 270,0
"06320890 Institut for Menneskerettigheder (IMR) "; 29,2; 26,2; 29,2; 29,2; 29,2; 29,2
"063209 Det Arabiske Initiativ "; 210,1; 140,0; 200,0; 200,0; 200,0; 200,0
"06320910 Dansk-arabiske partnerskabsaftaler "; 86,0; 111,9; 160,0; 40,0; 160,0; 40,0
"06320920 Øvrige indsatser "; 124,1; 28,1; 40,0; 160,0; 40,0; 160,0
"063211 Naboskabsprogram "; 211,9; 110,0; 160,0; 160,0; 160,0; 160,0
"06321110 Programindsatser "; 161,8; 77,0; 130,0; 130,0; 130,0; 130,0
"06321120 Øvrige indsatser "; 50,1; 33,0; 30,0; 30,0; 30,0; 30,0
"0633 Bistand gennem civilsamfundsorganisationer "; 1050,7; 758,0; 740,2; 736,3; 736,3; 736,3
"063301 Bistand gennem civilsamfundsorganisationer "; 1050,7; 758,0; 740,2; 736,3; 736,3; 736,3
"06330110 Rammeaftaler "; 808,0; 595,6; 537,9; 537,9; 537,9; 537,9
"06330111 Strategiske Initiativer "; -0,4; 5,0; 20,0; 20,0; 20,0; 20,0
"06330112 Puljeordninger og netværk "; 243,1; 157,4; 182,3; 178,4; 178,4; 178,4
"0634 Naturressourcer, energi og klimaforandringer "; 476,4; 301,0; 320,0; 343,0; 320,0; 320,0
"063401 Naturressourcer, energi og klimaforandringer "; 476,4; 301,0; 320,0; 343,0; 320,0; 320,0
"06340120 Bilaterale miljøindsatser "; -9,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06340150 FN's Miljøprogram (UNEP) "; 0,0; 9,0; 10,0; 10,0; 10,0; 10,0
"06340170 Klimapulje "; 374,6; 270,0; 300,0; 300,0; 300,0; 300,0
"06340180 Øvrige bidrag "; 88,9; 22,0; 10,0; 10,0; 10,0; 10,0
"06340190 Ozonfonden "; 22,3; 0,0; 0,0; 23,0; 0,0; 0,0
"0635 Oplysningsvirksomhed "; 168,7; 59,0; 63,0; 63,0; 63,0; 63,0
"063501 Oplysning i Danmark mv. "; 168,7; 59,0; 63,0; 63,0; 63,0; 63,0
"06350113 Oplysningsvirksomhed "; 62,8; 34,0; 40,0; 40,0; 40,0; 40,0
"06350114 Kulturelt samarbejde (CKU) "; 65,0; 5,0; 0,0; 0,0; 0,0; 0,0
"06350115 Udredningsvirksomhed "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06350117 Seminarer, kurser, konferencer mv. "; 26,9; 7,0; 8,0; 8,0; 8,0; 8,0
"06350118 Evaluering "; 14,2; 13,0; 15,0; 15,0; 15,0; 15,0
"0636 Multilateral bistand gennem FN mv. "; 1158,7; 900,1; 1039,0; 1139,0; 1141,0; 1186,0
"063601 UNDP "; 575,1; 386,0; 458,0; 435,0; 435,0; 435,0
"06360110 FN's Udviklingsprogram (UNDP) "; 345,0; 158,0; 220,0; 200,0; 200,0; 200,0
"06360112 FN's ligestillingsenhed (UN Women) "; 63,1; 53,0; 63,0; 60,0; 60,0; 60,0
"06360114 FN-byen "; 166,9; 175,0; 175,0; 175,0; 175,0; 175,0
"063602 De Forenede Nationers Børnefond (UNICEF) "; 90,0; 121,0; 125,0; 125,0; 125,0; 125,0
"06360210 Generelt bidrag til UNICEF "; 90,0; 121,0; 125,0; 125,0; 125,0; 125,0
"063603 Hiv/aids, Befolknings- og Sundhedsprogrammer "; 392,0; 302,0; 370,0; 495,0; 495,0; 345,0
"06360310 FN's Befolkningsfond (UNFPA) "; 152,0; 114,0; 200,0; 180,0; 180,0; 180,0
"06360311 IPPF m.fl. "; 125,0; 100,0; 115,0; 115,0; 115,0; 115,0
"06360312 Verdenssundhedsorg. WHO's udvik. aktiviteter "; 0,0; 19,0; 25,0; 25,0; 25,0; 25,0
"06360314 FN's Aids-bekæmpelsesprogram (UNAIDS) m.fl. "; 15,0; 19,0; 30,0; 25,0; 25,0; 25,0
"06360316 Den Globale Fond "; 100,0; 50,0; 0,0; 150,0; 150,0; 0,0
"063606 FNUD "; 101,6; 91,1; 86,0; 84,0; 86,0; 281,0
"06360610 FN's organisation for industriel udv. (UNIDO)"; 5,9; 6,1; 0,0; 0,0; 0,0; 0,0
"06360616 Interessevaretagelse i int. organisationer "; 67,0; 77,0; 70,0; 70,0; 70,0; 70,0
"06360619 FN-forbundet i Danmark "; 2,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06360623 OECD-DAC udviklingsrelateret bidrag "; 7,9; 0,0; 5,0; 3,0; 5,0; 0,0
"06360624 Diverse multilaterale bidrag "; 18,9; 8,0; 11,0; 11,0; 11,0; 211,0
"0637 Udviklingsbanker, -fonde og EU "; 1728,0; 1848,5; 1731,4; 1793,8; 2209,7; 1888,8
"063701 Verdensbankgruppen "; 898,1; 763,8; 820,8; 771,8; 763,8; 778,8
"06370111 Den internationale Udviklingssammenslu. (IDA)"; 614,2; 665,0; 622,0; 573,0; 565,0; 580,0
"06370115 Special Action Account "; -1,1; -1,2; -1,2; -1,2; -1,2; -1,2
"06370117 VB globale facilitet for kat.forebyg. "; 10,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06370118 Global Partnership for Education (GPE) "; 275,0; 100,0; 200,0; 200,0; 200,0; 200,0
"063702 Regionale udviklingsbanker "; 6,0; 200,0; 100,0; 100,0; 100,0; 0,0
"06370210 Den afrikanske Udviklingsbank (AfDB) "; 6,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06370213 AIIB "; 0,0; 200,0; 100,0; 100,0; 100,0; 0,0
"063703 Udviklingsfonde m.v. "; 319,3; 512,0; 215,7; 222,0; 645,9; 410,0
"06370310 Den afrikanske Udviklingsfond (AfDF) "; 179,7; 403,0; 100,0; 100,0; 430,0; 210,0
"06370311 Den asiatiske Udviklingsfond (AsDF) "; 0,0; 0,0; 0,0; 0,0; 90,0; 0,0
"06370313 Den nordiske Udviklingsfond (NDF) "; 36,5; 0,0; 0,0; 0,0; 0,0; 0,0
"06370314 Multilaterale gældslettelsesinitiativer "; 103,0; 109,0; 115,7; 122,0; 125,9; 200,0
"063704 Bistand gennem Den Europæiske Union (EU) "; 504,6; 372,7; 594,9; 700,0; 700,0; 700,0
"06370410 Den Europæiske Udviklingsfond (EUF) "; 506,8; 375,0; 595,3; 700,0; 700,0; 700,0
"06370411 EU-lån til Tyrkiet "; -2,2; -2,3; -0,4; 0,0; 0,0; 0,0
"0638 Partnerskaber for bæredygtig vækst "; 264,5; 447,5; 1299,2; 899,2; 1031,2; 1044,2
"063801 Mobilisering - finansiering til investeringer "; 181,5; 203,0; 620,0; 420,0; 520,0; 470,0
"06380110 Multilateral regionalbistand "; -23,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06380111 Investeringsfonden for Udviklingslande (IFU) "; 92,5; 3,0; 300,0; 100,0; 100,0; 0,0
"06380112 Den int. finansieringsinstitution (IFC) "; 18,3; 0,0; 20,0; 20,0; 20,0; 20,0
"06380113 Danida Business Finance (DBF) "; 93,9; 200,0; 250,0; 300,0; 400,0; 400,0
"06380114 Projektudviklingsfacilitet DBF "; 0,0; 0,0; 50,0; 0,0; 0,0; 50,0
"063802 Rammebetingelser, viden og forr. muligheder "; 83,0; 244,5; 679,2; 479,2; 511,2; 574,2
"06380212 Partnerskaber for markedsdrevet vækst "; 0,0; 0,0; 172,0; 112,0; 132,0; 192,0
"06380213 Vækstrådgivere "; 15,6; 33,0; 40,0; 50,0; 50,0; 50,0
"06380214 Strategisk sektorsamarbejde "; 8,6; 34,0; 50,0; 50,0; 62,0; 65,0
"06380215 FN's arbejdsorganisation (ILO) "; 0,0; 9,5; 9,5; 9,5; 9,5; 9,5
"06380216 Støtte til aktiviteter indenfor handel og udv"; 0,0; 35,0; 35,0; 5,0; 5,0; 5,0
"06380217 Energi- og vandressourcer mv. "; 0,0; 0,0; 45,0; 45,0; 45,0; 45,0
"06380218 Strategiske indsatser i vækstmarkeder "; 0,0; 0,0; 10,0; 10,0; 10,0; 10,0
"06380219 Forskningssamarbejde "; 18,8; 106,0; 230,0; 110,0; 110,0; 110,0
"06380220 Stipendiatbistand "; 40,0; 27,0; 30,0; 30,0; 30,0; 30,0
"06380221 Arbejdsmarkeder og rammebetingelser "; 0,0; 0,0; 57,7; 57,7; 57,7; 57,7
"0639 Humanitær bistand "; 2199,2; 1825,0; 1900,0; 1900,0; 1900,0; 1900,0
"063901 Humanitære organisationer "; 640,0; 590,0; 605,0; 605,0; 605,0; 605,0
"06390110 FN's Flygtningehøjkommissariat (UNHCR) "; 160,0; 160,0; 160,0; 160,0; 160,0; 160,0
"06390111 FN's org. for Palæstinaflygtninge (UNRWA) "; 90,0; 70,0; 70,0; 70,0; 70,0; 70,0
"06390112 FN's Humanitære Koordinationskontor (OCHA) "; 30,0; 30,0; 30,0; 30,0; 30,0; 30,0
"06390113 Humanitær fødevarebistand (WFP) "; 210,0; 210,0; 210,0; 210,0; 210,0; 210,0
"06390114 Den internationale Røde Kors Komite (ICRC) "; 20,0; 20,0; 20,0; 20,0; 20,0; 20,0
"06390116 FN's Humanitære Fond (CERF) "; 100,0; 100,0; 100,0; 100,0; 100,0; 100,0
"06390117 FN's organisation for minerydning (UNMAS) "; 30,0; 0,0; 15,0; 15,0; 15,0; 15,0
"063902 Humanitære bidrag kriser "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"06390210 Humanitære bidrag "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"06390212 Bistand til flyg og internt fordrevne i nærom"; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06390213 Nødhjælpspuljer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"063903 Hum bidrag til partnere "; 1559,9; 1235,0; 1295,0; 1295,0; 1295,0; 1295,0
"06390310 Strategiske Partnerskaber og Nødhjælpspuljer "; 644,0; 674,0; 650,0; 650,0; 650,0; 650,0
"06390311 Øvrige bidrag til akutte og langvarige kriser"; 915,9; 561,0; 645,0; 645,0; 645,0; 645,0
"064 eksportfremme "; 107,8; 105,5; 105,5; 92,3; 85,7; 79,1
"0641 Fællesudgifter "; 107,8; 105,5; 105,5; 92,3; 85,7; 79,1
"064102 Eksportstipendiater og handelskontorer "; 51,1; 43,3; 47,3; 47,3; 47,3; 47,3
"06410210 Eksportstipendiater og handelskontorer "; 51,1; 43,3; 47,3; 47,3; 47,3; 47,3
"064103 Særlige eksportfremmetilskud "; 56,8; 62,2; 58,2; 45,0; 38,4; 31,8
"06410310 smv-programmet "; 22,1; 24,4; 24,4; 17,8; 14,5; 11,2
"06410320 Fælles erhvervsfremstød "; 34,6; 37,8; 33,8; 27,2; 23,9; 20,6
"07 Finansministeriet "; 25037,6; 21241,6; 20230,0; 20682,2; 20998,3; 21096,0
"071 Offentlig økonomi "; 4244,3; 1284,9; -623,5; -717,1; -739,7; -759,2
"0711 Centralstyrelsen "; 342,2; 741,2; 336,6; 329,2; 322,2; 310,8
"071101 Departementet "; 237,9; 232,5; 222,4; 217,7; 213,1; 208,8
"07110110 Almindelig virksomhed "; 237,9; 232,5; 222,4; 217,7; 213,1; 208,8
"071102 Effektivisering af offentlige institutioner "; 76,2; 74,3; 80,6; 78,7; 77,2; 70,8
"07110210 Effektivisering af offentlige institutioner "; 61,8; 61,2; 57,6; 56,0; 54,7; 58,5
"07110220 Lønrefusion mv. for nationale eksperter "; 9,0; 8,8; 8,7; 8,5; 8,3; 8,1
"07110240 Bedre statistikdækning af den off. sektor "; 4,4; 4,3; 4,3; 4,2; 4,2; 4,2
"07110250 Kommunalt-statsligt samarbejdsprojekt "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07110260 Tværoffentligt effektiseringssamarbejde "; 0,0; 0,0; 10,0; 10,0; 10,0; 0,0
"071108 DREAM-gruppen "; 1,6; 1,6; 1,6; 1,6; 1,6; 1,6
"07110810 Almindelig virksomhed "; 1,6; 1,6; 1,6; 1,6; 1,6; 1,6
"071109 De Økonomiske Råd "; 26,5; 26,1; 25,8; 25,3; 24,6; 24,1
